,users,followingRatio,order,freq,catchingUpRatio,features,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.5,0.25,0.4,0.6,"[0.5,0.25,0.4,0.6]",2
1,037820a7-a143-422c-3ebd-3553d373,1.0,0.5,0.14285714285714285,0.8571428571428571,"[1.0,0.5,0.14285714285714285,0.8571428571428571]",1
2,06f2e041-7a2d-a0ab-5f48-fd01f0a2,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]",1
3,0e59235e-e51a-a5cd-e0ba-0fffe847,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]",1
4,1459b8fd-ecab-4e30-1fc9-3d649648,1.0,0.3333333333333333,0.14285714285714285,0.8571428571428571,"[1.0,0.3333333333333333,0.14285714285714285,0.8571428571428571]",1
5,1496b095-5b5f-4c47-5066-49bcf5d6,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",1
6,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]",2
7,16ba8f74-d9b7-c724-98c5-f31f43be,0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666,"[0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666]",0
8,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,1.0,0.8571428571428571,0.125,0.875,"[1.0,0.8571428571428571,0.125,0.875]",1
9,1c09a110-d9c3-2442-9f5d-aee802c0,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]",1
10,1cb07e56-7b73-0087-0a17-3e9c1f88,0.25,0.8571428571428571,0.5,0.5,"[0.25,0.8571428571428571,0.5,0.5]",0
11,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.5,0.75,0.4,0.6,"[0.5,0.75,0.4,0.6]",2
12,1f7f3fd7-7087-1461-cf43-9add2172,0.3333333333333333,0.6666666666666666,0.75,0.25,"[0.3333333333333333,0.6666666666666666,0.75,0.25]",0
13,20e2fc85-7d0f-8a2c-b651-4b811a97,0.3333333333333333,0.4,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,0.4,0.3333333333333333,0.16666666666666666]",0
