,users,catchingUpRatio,order,freq,ordinary-late,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.6,0.25,0.4,ordinary,"[0.6,0.25,0.4]","[0.9973832744594756,3.0213498393343147e-15,0.0026167255405182693,3.0213498459272304e-15]",0
1,037820a7-a143-422c-3ebd-3553d373,0.8571428571428571,0.5,0.14285714285714285,ordinary,"[0.8571428571428571,0.5,0.14285714285714285]","[0.5235807143036618,6.343604778866805e-16,0.47641609150857156,3.1941877658733924e-06]",0
2,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]","[0.11871115583524261,1.9452096719180699e-16,0.8812886361847033,2.079800538768849e-07]",2
3,0e59235e-e51a-a5cd-e0ba-0fffe847,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]","[0.11871115583524261,1.9452096719180699e-16,0.8812886361847033,2.079800538768849e-07]",2
4,1459b8fd-ecab-4e30-1fc9-3d649648,0.8571428571428571,0.3333333333333333,0.14285714285714285,ordinary,"[0.8571428571428571,0.3333333333333333,0.14285714285714285]","[0.8850403534148836,2.0262293295141653e-15,0.11495915973078202,4.868543322801848e-07]",0
5,1496b095-5b5f-4c47-5066-49bcf5d6,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]","[0.4386167740031007,4.493811403566865e-16,0.5613802229259001,3.0030709988405575e-06]",2
6,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,ordinary,"[0.5,0.6666666666666666,0.25]","[0.04756502784383593,3.242929227878324e-17,0.9524153341870782,1.9637969085717243e-05]",2
7,16ba8f74-d9b7-c724-98c5-f31f43be,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]","[0.9999999999991375,5.560388490851847e-15,8.514842576334348e-13,5.505984490674813e-15]",0
8,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.875,0.8571428571428571,0.125,ordinary,"[0.875,0.8571428571428571,0.125]","[0.12868543817226422,1.3105852298909265e-16,0.871307512406723,7.049421012644658e-06]",2
9,1c09a110-d9c3-2442-9f5d-aee802c0,0.75,0.6666666666666666,0.25,ordinary,"[0.75,0.6666666666666666,0.25]","[0.43724052195107116,3.0810970745298103e-16,0.5627574134169913,2.0646319372108958e-06]",2
10,1cb07e56-7b73-0087-0a17-3e9c1f88,0.5,0.8571428571428571,0.5,ordinary,"[0.5,0.8571428571428571,0.5]","[0.9992801853483796,1.0361883471695561e-15,0.0007198146516185231,8.713190967520899e-16]",0
11,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.6,0.75,0.4,ordinary,"[0.6,0.75,0.4]","[0.9574069114979935,6.420625875956944e-16,0.04259308850200527,6.42062588123662e-16]",0
12,1f7f3fd7-7087-1461-cf43-9add2172,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]","[0.9998158801197505,0.0001841188960642841,9.841821353955949e-10,3.059706510964832e-15]",0
13,20e2fc85-7d0f-8a2c-b651-4b811a97,0.16666666666666666,0.4,0.3333333333333333,ordinary,"[0.16666666666666666,0.4,0.3333333333333333]","[0.062351536235115995,8.284708643732576e-10,0.9376484629364059,7.083044194861826e-15]",2
14,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,0.9166666666666666,0.9090909090909092,0.08333333333333333,ordinary,"[0.9166666666666666,0.9090909090909092,0.08333333333333333]","[0.11412220411968103,1.5100910969090983e-16,0.8858777776020144,1.827830432568036e-08]",2
15,258d2e1f-e3e8-2612-8285-895fb96d,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]","[0.9999999996716642,2.5573184734827126e-10,7.260002501304936e-11,3.901911537241046e-15]",0
16,269144fa-ef0e-c81e-52ff-df9a348a,0.6923076923076923,0.8333333333333334,0.2307692307692308,ordinary,"[0.6923076923076923,0.8333333333333334,0.2307692307692308]","[0.13293278404453152,9.31741656352881e-17,0.8670033493197611,6.38666357073428e-05]",2
17,31a88be4-13ad-06c2-119c-3551a490,0.2,1.0,0.1,ordinary,"[0.2,1.0,0.1]","[0.043895621375493445,2.1948145630971926e-10,3.3991433343108894e-05,0.956070386971682]",3
18,3447bacb-f54d-55c2-592f-3a3ff765,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]","[0.4386167740031007,4.493811403566865e-16,0.5613802229259001,3.0030709988405575e-06]",2
19,35813a40-7aa6-5336-237b-c93f1759,0.875,0.8571428571428571,0.0,ordinary,"[0.875,0.8571428571428571,0.0]","[0.1647582150796179,2.1746781056218728e-16,0.8352417849203808,1.0692627434798047e-15]",2
20,35ce5334-aefb-9a61-d1c3-7f01a776,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]","[0.1345094338375012,1.9218831742501996e-16,0.8654650820582167,2.5484104282010007e-05]",2
21,367365a7-8d2a-3b00-f3e3-f877be3c,0.7142857142857143,0.8333333333333334,0.2857142857142857,ordinary,"[0.7142857142857143,0.8333333333333334,0.2857142857142857]","[0.5248447665696577,3.618952815764364e-16,0.4751552276718719,5.75847005179159e-09]",0
22,3681eecc-7864-c1c1-0024-4d4234be,0.9,1.0,0.1,ordinary,"[0.9,1.0,0.1]","[0.12142499448961494,1.914580253596579e-16,0.8785740680589629,9.374514219218397e-07]",2
23,37ada581-75c2-560e-2eb3-3db3a231,0.8,0.5,0.2,ordinary,"[0.8,0.5,0.2]","[0.5709821986232889,5.98287546208131e-16,0.4289792531910306,3.8548185679943376e-05]",0
24,37d73652-37e1-cc5f-6c84-3b9a528c,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]","[0.9999999999991375,5.560388490851847e-15,8.514842576334348e-13,5.505984490674813e-15]",0
25,380773a6-f975-22c8-187e-e40fe702,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]","[0.9998158801197505,0.0001841188960642841,9.841821353955949e-10,3.059706510964832e-15]",0
26,3c370e25-1bd5-c34b-ec40-31117752,0.75,0.3333333333333333,0.25,ordinary,"[0.75,0.3333333333333333,0.25]","[0.9179782857331545,1.6993443268131837e-15,0.08202106266459841,6.516022453539332e-07]",0
27,3d524e1d-934c-6d53-022b-983c91c3,0.2,1.0,0.4,ordinary,"[0.2,1.0,0.4]","[0.0763915580950635,0.8713479932315266,0.052260448673409926,1.2748703367528224e-16]",1
28,3d7d0f75-dda5-644d-e527-018ff340,0.09090909090909091,0.7,0.09090909090909093,ordinary,"[0.09090909090909091,0.7,0.09090909090909093]","[0.18444962832854275,1.5432233276392284e-16,2.1796345274047617e-05,0.8155285753261831]",3
29,3dc06a27-afe4-b105-1f3c-997851c7,0.7272727272727273,0.7,0.18181818181818185,ordinary,"[0.7272727272727273,0.7,0.18181818181818185]","[0.09659905702020558,6.891829759012508e-17,0.9026304318416074,0.0007705111381868615]",2
30,3fc2e2fe-697a-3255-1a17-4204819d,0.5,0.7142857142857143,0.5,ordinary,"[0.5,0.7142857142857143,0.5]","[0.9989306140928182,8.32636323805259e-16,0.0010693859071800895,8.283550766345251e-16]",0
31,4196e8ee-e405-a1e1-4a7f-7d9149a5,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]","[0.4386167740031007,4.493811403566865e-16,0.5613802229259001,3.0030709988405575e-06]",2
32,42779e7e-90bc-7eac-5aa8-a9874f90,0.2727272727272727,1.0,0.3636363636363637,ordinary,"[0.2727272727272727,1.0,0.3636363636363637]","[0.038737531178274595,0.9078538043125463,0.053408664509179166,5.2214571307854065e-17]",1
33,440d90ef-c7d7-0530-608e-8c0fc440,0.2857142857142857,1.0,0.7142857142857143,ordinary,"[0.2857142857142857,1.0,0.7142857142857143]","[0.9999996248323013,3.7419580671908056e-07,9.718889062239682e-10,3.07838151664261e-15]",0
34,45d78fe4-7d30-3b18-371e-57bb06c7,0.8888888888888888,1.0,0.1111111111111111,ordinary,"[0.8888888888888888,1.0,0.1111111111111111]","[0.12616455207207025,1.9015703237229773e-16,0.87383071242809,4.7354998395929635e-06]",2
35,4641102c-f3d3-3878-6d00-1c49a28c,0.09090909090909091,0.7,0.2727272727272727,ordinary,"[0.09090909090909091,0.7,0.2727272727272727]","[0.40803839967776917,1.206416496614628e-09,0.5919614424069918,1.56708822547168e-07]",2
36,4b21d918-4ac0-0787-3094-37c9432c,0.5454545454545454,0.6,0.2727272727272727,ordinary,"[0.5454545454545454,0.6,0.2727272727272727]","[0.0915295316224702,6.786582081262811e-17,0.908470200518731,2.6785879884826416e-07]",2
