,users,catchingUpRatio,order,freq,ordinary-late,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.6,0.25,0.4,ordinary,"[0.6,0.25,0.4]","[0.010981109356563382,0.9849272636830659,0.004091626960370349,3.541485596055894e-16]",1
1,0064c3fd-7e6e-425c-f754-34b889c8,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]","[0.020544191159295004,3.246635224748437e-16,0.9794558088407044,3.246635224526483e-16]",2
2,037820a7-a143-422c-3ebd-3553d373,0.8571428571428571,0.5,0.14285714285714285,ordinary,"[0.8571428571428571,0.5,0.14285714285714285]","[0.4793628313634219,0.520230773306462,0.00040639533011603074,2.679603957880637e-16]",1
3,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]","[1.452090357262627e-16,0.892361906730172,0.10763809326982772,1.452090357262046e-16]",1
4,04a7d779-f053-b1a3-386e-82d69979,0.0,0.8333333333333334,0.0,ordinary,"[0.0,0.8333333333333334,0.0]","[0.017283109060104784,2.193898103923417e-16,0.9827168909398947,2.1938981037499663e-16]",2
5,068616a9-816f-e8e4-d737-6ddba1df,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]","[0.011056361433833647,2.3153084771167666e-16,0.9889436385661659,2.315308477031584e-16]",2
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]","[0.999833196575353,6.22635052428933e-05,0.00010453991940408708,1.4023417043895154e-16]",0
7,0781bbba-c179-f93c-1116-8d684911,0.0,0.75,0.0,ordinary,"[0.0,0.75,0.0]","[0.014308312394954104,2.1321366338447442e-16,0.9856916876050456,2.1321366337158944e-16]",2
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]","[1.452090357262627e-16,0.892361906730172,0.10763809326982772,1.452090357262046e-16]",1
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]","[0.011056361433833647,2.3153084771167666e-16,0.9889436385661659,2.315308477031584e-16]",2
10,0c9621b0-ff94-77e8-727f-5420882d,0.0,1.0,0.5,ordinary,"[0.0,1.0,0.5]","[2.2007273363576453e-05,3.863944616243737e-06,0.99997412878202,2.2716759086332685e-16]",2
11,0e59235e-e51a-a5cd-e0ba-0fffe847,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]","[0.999833196575353,6.22635052428933e-05,0.00010453991940408708,1.4023417043895154e-16]",0
12,101c246c-3f77-d919-ca38-8d19141e,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]","[0.020544191159295004,3.246635224748437e-16,0.9794558088407044,3.246635224526483e-16]",2
