,users,followingRatio,order,freq,catchingUpRatio,pcaInput,_1,_2,features,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.5,0.25,0.4,0.6,"[0.5,0.25,0.4,0.6]",-0.5882575088102852,0.23113579561416742,"[-0.5882575088102852,0.23113579561416742]",2
1,037820a7-a143-422c-3ebd-3553d373,1.0,0.5,0.14285714285714285,0.8571428571428571,"[1.0,0.5,0.14285714285714285,0.8571428571428571]",-1.1891421509963023,0.4931419494883944,"[-1.1891421509963023,0.4931419494883944]",0
2,06f2e041-7a2d-a0ab-5f48-fd01f0a2,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]",-1.2295820103156965,0.9946769510409094,"[-1.2295820103156965,0.9946769510409094]",1
3,0e59235e-e51a-a5cd-e0ba-0fffe847,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]",-1.2295820103156965,0.9946769510409094,"[-1.2295820103156965,0.9946769510409094]",1
4,1459b8fd-ecab-4e30-1fc9-3d649648,1.0,0.3333333333333333,0.14285714285714285,0.8571428571428571,"[1.0,0.3333333333333333,0.14285714285714285,0.8571428571428571]",-1.191598272857501,0.3266427753297768,"[-1.191598272857501,0.3266427753297768]",0
5,1496b095-5b5f-4c47-5066-49bcf5d6,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-1.0831693215502882,0.9884371713686317,"[-1.0831693215502882,0.9884371713686317]",1
6,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]",-0.572126725652899,0.6545410138296442,"[-0.572126725652899,0.6545410138296442]",2
7,16ba8f74-d9b7-c724-98c5-f31f43be,0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666,"[0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666]",0.039398836422257,0.7622839763156888,"[0.039398836422257,0.7622839763156888]",3
8,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,1.0,0.8571428571428571,0.125,0.875,"[1.0,0.8571428571428571,0.125,0.875]",-1.200313110032708,0.8506262775466061,"[-1.200313110032708,0.8506262775466061]",1
9,1c09a110-d9c3-2442-9f5d-aee802c0,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]",-1.0880815652726858,0.6554388230513964,"[-1.0880815652726858,0.6554388230513964]",1
10,1cb07e56-7b73-0087-0a17-3e9c1f88,0.25,0.8571428571428571,0.5,0.5,"[0.25,0.8571428571428571,0.5,0.5]",-0.303320318952227,0.8326604186517168,"[-0.303320318952227,0.8326604186517168]",3
11,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.5,0.75,0.4,0.6,"[0.5,0.75,0.4,0.6]",-0.5808891432266889,0.7306333180900203,"[-0.5808891432266889,0.7306333180900203]",2
12,1f7f3fd7-7087-1461-cf43-9add2172,0.3333333333333333,0.6666666666666666,0.75,0.25,"[0.3333333333333333,0.6666666666666666,0.75,0.25]",-0.13736991830405254,0.6329322586627595,"[-0.13736991830405254,0.6329322586627595]",3
13,20e2fc85-7d0f-8a2c-b651-4b811a97,0.3333333333333333,0.4,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,0.4,0.3333333333333333,0.16666666666666666]",-0.2286880613678245,0.3854239840731741,"[-0.2286880613678245,0.3854239840731741]",3
14,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,1.0,0.9090909090909092,0.08333333333333333,0.9166666666666666,"[1.0,0.9090909090909092,0.08333333333333333,0.9166666666666666]",-1.2378937459474306,0.9041563520470101,"[-1.2378937459474306,0.9041563520470101]",1
15,258d2e1f-e3e8-2612-8285-895fb96d,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",-0.13245767458165508,0.9659306069799949,"[-0.13245767458165508,0.9659306069799949]",3
16,269144fa-ef0e-c81e-52ff-df9a348a,0.25,0.8333333333333334,0.2307692307692308,0.6923076923076923,"[0.25,0.8333333333333334,0.2307692307692308,0.6923076923076923]",-0.5058967505185873,0.8198264685533732,"[-0.5058967505185873,0.8198264685533732]",2
17,31a88be4-13ad-06c2-119c-3551a490,0.5,1.0,0.1,0.2,"[0.5,1.0,0.1,0.2]",-0.4387946210966926,0.9957158945538692,"[-0.4387946210966926,0.9957158945538692]",2
18,3447bacb-f54d-55c2-592f-3a3ff765,0.5,1.0,0.25,0.75,"[0.5,1.0,0.25,0.75]",-0.7152512098422759,0.9862653001618085,"[-0.7152512098422759,0.9862653001618085]",2
19,35813a40-7aa6-5336-237b-c93f1759,1.0,0.8571428571428571,0.0,0.875,"[1.0,0.8571428571428571,0.0,0.875]",-1.2413332872496416,0.8561659925673598,"[-1.2413332872496416,0.8561659925673598]",1
20,35ce5334-aefb-9a61-d1c3-7f01a776,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-1.198207862723109,0.9933398553968499,"[-1.198207862723109,0.9933398553968499]",1
21,367365a7-8d2a-3b00-f3e3-f877be3c,0.5,0.8333333333333334,0.2857142857142857,0.7142857142857143,"[0.5,0.8333333333333334,0.2857142857142857,0.7142857142857143]",-0.6848391770826687,0.8183653591379857,"[-0.6848391770826687,0.8183653591379857]",2
22,3681eecc-7864-c1c1-0024-4d4234be,1.0,1.0,0.1,0.9,"[1.0,1.0,0.1,0.9]",-1.2212155709576733,0.9943203922024936,"[-1.2212155709576733,0.9943203922024936]",1
23,37ada581-75c2-560e-2eb3-3db3a231,1.0,0.5,0.2,0.8,"[1.0,0.5,0.2,0.8]",-1.1365531036030128,0.49090072250406613,"[-1.1365531036030128,0.49090072250406613]",0
24,37d73652-37e1-cc5f-6c84-3b9a528c,0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666,"[0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666]",0.039398836422257,0.7622839763156888,"[0.039398836422257,0.7622839763156888]",3
25,380773a6-f975-22c8-187e-e40fe702,0.3333333333333333,0.6666666666666666,0.75,0.25,"[0.3333333333333333,0.6666666666666666,0.75,0.25]",-0.13736991830405254,0.6329322586627595,"[-0.13736991830405254,0.6329322586627595]",3
26,3c370e25-1bd5-c34b-ec40-31117752,1.0,0.3333333333333333,0.25,0.75,"[1.0,0.3333333333333333,0.25,0.75]",-1.0929938089950832,0.32244047473416126,"[-1.0929938089950832,0.32244047473416126]",0
27,3d524e1d-934c-6d53-022b-983c91c3,0.33333333333333337,1.0,0.4,0.2,"[0.33333333333333337,1.0,0.4,0.2]",-0.21770682520671442,0.9816966214351194,"[-0.21770682520671442,0.9816966214351194]",3
28,3d7d0f75-dda5-644d-e527-018ff340,0.25,0.7,0.09090909090909093,0.09090909090909091,"[0.25,0.7,0.09090909090909093,0.09090909090909091]",-0.19764202530166503,0.6958902881508497,"[-0.19764202530166503,0.6958902881508497]",3
29,3dc06a27-afe4-b105-1f3c-997851c7,0.3333333333333333,0.7,0.18181818181818185,0.7272727272727273,"[0.3333333333333333,0.7,0.18181818181818185,0.7272727272727273]",-0.6059496163858078,0.6889803161627731,"[-0.6059496163858078,0.6889803161627731]",2
30,3fc2e2fe-697a-3255-1a17-4204819d,0.25,0.7142857142857143,0.5,0.5,"[0.25,0.7142857142857143,0.5,0.5]",-0.3054255662618259,0.6899468408014732,"[-0.3054255662618259,0.6899468408014732]",3
31,4196e8ee-e405-a1e1-4a7f-7d9149a5,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-1.0831693215502882,0.9884371713686317,"[-1.0831693215502882,0.9884371713686317]",1
32,42779e7e-90bc-7eac-5aa8-a9874f90,0.14285714285714285,1.0,0.3636363636363637,0.2727272727272727,"[0.14285714285714285,1.0,0.3636363636363637,0.2727272727272727]",-0.1325459169571217,0.9821101591745022,"[-0.1325459169571217,0.9821101591745022]",3
33,440d90ef-c7d7-0530-608e-8c0fc440,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]",-0.06721433274699107,0.9667522081900471,"[-0.06721433274699107,0.9667522081900471]",3
34,45d78fe4-7d30-3b18-371e-57bb06c7,1.0,1.0,0.1111111111111111,0.8888888888888888,"[1.0,1.0,0.1111111111111111,0.8888888888888888]",-1.2109899228534224,0.993884598066652,"[-1.2109899228534224,0.993884598066652]",1
35,4641102c-f3d3-3878-6d00-1c49a28c,0.25,0.7,0.2727272727272727,0.09090909090909091,"[0.25,0.7,0.2727272727272727,0.09090909090909091]",-0.13797631298612517,0.6878325208479353,"[-0.13797631298612517,0.6878325208479353]",3
36,4b21d918-4ac0-0787-3094-37c9432c,0.3333333333333333,0.6,0.2727272727272727,0.5454545454545454,"[0.3333333333333333,0.6,0.2727272727272727,0.5454545454545454]",-0.46992735849983025,0.5859785185507426,"[-0.46992735849983025,0.5859785185507426]",2
37,4c4ac589-35f5-76e3-d0a3-fedab6c6,0.16666666666666666,0.7142857142857143,0.5,0.25,"[0.16666666666666666,0.7142857142857143,0.5,0.25]",-0.09606915306538275,0.6908589242520737,"[-0.09606915306538275,0.6908589242520737]",3
38,4cc576c8-f218-94be-fef3-4b6fd86e,0.16666666666666666,0.8333333333333334,0.3076923076923077,0.3076923076923077,"[0.16666666666666666,0.8333333333333334,0.3076923076923077,0.3076923076923077]",-0.19158506708230644,0.8180155299831636,"[-0.19158506708230644,0.8180155299831636]",3
39,53cb26b0-7222-8eb4-ef0d-29e7a801,1.0,0.25,0.2,0.8,"[1.0,0.25,0.2,0.8]",-1.140237286394811,0.24115196126613975,"[-1.140237286394811,0.24115196126613975]",0
40,5409088d-b542-9cac-7fac-9ab00271,0.3333333333333333,0.7272727272727273,0.25,0.75,"[0.3333333333333333,0.7272727272727273,0.25,0.75]",-0.5966309477730818,0.7130881490151294,"[-0.5966309477730818,0.7130881490151294]",2
41,54e1c86d-b289-f693-e3a3-5d393778,0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666,"[0.19999999999999998,0.8,0.8333333333333334,0.16666666666666666]",0.039398836422257,0.7622839763156888,"[0.039398836422257,0.7622839763156888]",3
42,57b97824-05f2-21af-72f1-95f7d697,0.3333333333333333,0.5714285714285714,0.125,0.5,"[0.3333333333333333,0.5714285714285714,0.125,0.5]",-0.49191103050689444,0.564214386547961,"[-0.49191103050689444,0.564214386547961]",2
43,5d557ed3-ce5e-24e4-a66e-aa966d6c,0.3333333333333333,0.6666666666666666,0.5,0.25,"[0.3333333333333333,0.6666666666666666,0.5,0.25]",-0.21941027273791983,0.6440116887042668,"[-0.21941027273791983,0.6440116887042668]",3
44,5e97ad83-2b2c-529e-f831-deac0066,0.5,0.5,0.2,0.6,"[0.5,0.5,0.2,0.6]",-0.6502056095655808,0.4897481008852997,"[-0.6502056095655808,0.4897481008852997]",2
45,5fad3306-616d-9b57-3411-75efa34d,0.3333333333333333,0.6,0.3333333333333333,0.3333333333333333,"[0.3333333333333333,0.6,0.3333333333333333,0.3333333333333333]",-0.324431867075569,0.5843736184068011,"[-0.324431867075569,0.5843736184068011]",3
46,6408c27b-ab13-d145-5b44-24f30202,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-1.0831693215502882,0.9884371713686317,"[-1.0831693215502882,0.9884371713686317]",1
47,6613f3e0-2e08-24f1-52ba-bfab8807,1.0,0.125,0.1111111111111111,0.8888888888888888,"[1.0,0.125,0.1111111111111111,0.8888888888888888]",-1.2238845626247157,0.1197639337339094,"[-1.2238845626247157,0.1197639337339094]",0
48,6809fd15-56b5-3424-e33d-88eb107c,1.0,0.25,0.2,0.8,"[1.0,0.25,0.2,0.8]",-1.140237286394811,0.24115196126613975,"[-1.140237286394811,0.24115196126613975]",0
49,6a9b69a1-5f2e-6aea-63d9-0e9d77c1,0.16666666666666669,1.0,0.8571428571428571,0.14285714285714285,"[0.16666666666666669,1.0,0.8571428571428571,0.14285714285714285]",0.08878615985010023,0.9610043493154382,"[0.08878615985010023,0.9610043493154382]",3
50,6c86b1d0-fd95-c414-78d2-9495251b,0.25,0.75,0.8,0.2,"[0.25,0.75,0.8,0.2]",-0.028806755619656108,0.7138587935963107,"[-0.028806755619656108,0.7138587935963107]",3
51,6e25573c-8b7b-a2e7-a782-480ddb63,0.3333333333333333,0.3333333333333333,0.25,0.25,"[0.3333333333333333,0.3333333333333333,0.25,0.25]",-0.30636287089418457,0.322092770428539,"[-0.30636287089418457,0.322092770428539]",3
52,6f168bc8-c816-a359-ba88-da8c663d,0.5,0.7142857142857143,0.125,0.75,"[0.5,0.7142857142857143,0.125,0.75]",-0.7604818816784074,0.7063778594820748,"[-0.7604818816784074,0.7063778594820748]",1
53,6f359ebe-9f0a-2bae-a27a-c4ec1712,0.3333333333333333,1.0,0.5,0.5,"[0.3333333333333333,1.0,0.5,0.5]",-0.36253475692729675,0.9757359750364312,"[-0.36253475692729675,0.9757359750364312]",2
54,70eacff4-a340-e4fd-746a-807b58c3,0.3333333333333333,1.0,0.16666666666666666,0.4166666666666667,"[0.3333333333333333,1.0,0.16666666666666666,0.4166666666666667]",-0.4225763202018617,0.9909332357534646,"[-0.4225763202018617,0.9909332357534646]",2
55,74105285-3bd1-71b2-bb2b-df56e6f7,0.5,1.0,0.25,0.5,"[0.5,1.0,0.25,0.5]",-0.5672144819305015,0.9875393621468795,"[-0.5672144819305015,0.9875393621468795]",2
56,755f4b52-e48e-eda7-42c0-2dabd3cf,0.19999999999999998,0.6,0.3333333333333333,0.16666666666666666,"[0.19999999999999998,0.6,0.3333333333333333,0.16666666666666666]",-0.12762921867891608,0.5846438274083623,"[-0.12762921867891608,0.5846438274083623]",3
57,78928b9d-af19-1353-e439-c5b1d36f,1.0,0.5,0.2,0.8,"[1.0,0.5,0.2,0.8]",-1.1365531036030128,0.49090072250406613,"[-1.1365531036030128,0.49090072250406613]",0
58,78f08216-f3b9-62f6-7676-e8f9b3e2,0.33333333333333337,0.5,0.2,0.4,"[0.33333333333333337,0.5,0.2,0.4]",-0.409136856666824,0.49004339340441544,"[-0.409136856666824,0.49004339340441544]",2
59,7b7820c3-5040-cdf4-4448-bacd9426,1.0,0.625,0.1111111111111111,0.8888888888888888,"[1.0,0.625,0.1111111111111111,0.8888888888888888]",-1.2165161970411198,0.6192614562097623,"[-1.2165161970411198,0.6192614562097623]",1
