,users,catchingUpRatio,order,freq,ordinary-late,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.6,0.25,0.4,ordinary,"[0.6,0.25,0.4]",-0.08480448042292044,-0.7519887439812596,"[-0.08480448042292044,-0.7519887439812596]","[2.235421499422786e-06,9.693404469338185e-17,9.693404469338185e-17,0.9999977645785003]",3
1,0064c3fd-7e6e-425c-f754-34b889c8,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0.27969614301474444,-0.24153733373666997,"[0.27969614301474444,-0.24153733373666997]","[4.782598513843986e-18,0.9988965470606695,9.359325292130502e-09,0.0011034435800051112]",1
2,037820a7-a143-422c-3ebd-3553d373,0.8571428571428571,0.5,0.14285714285714285,ordinary,"[0.8571428571428571,0.5,0.14285714285714285]",-0.36388454273488524,-0.8280990635359085,"[-0.36388454273488524,-0.8280990635359085]","[1.4089734334626548e-07,2.582057662880814e-16,2.582057662880814e-16,0.9999998591026561]",3
3,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",0.9393105223246565,-0.8964477766693052,"[0.9393105223246565,-0.8964477766693052]","[0.0004318058373639979,3.0386744889995165e-18,0.9995681940639001,9.873587459958702e-11]",2
4,04a7d779-f053-b1a3-386e-82d69979,0.0,0.8333333333333334,0.0,ordinary,"[0.0,0.8333333333333334,0.0]",0.23308011917895372,-0.201281111447225,"[0.23308011917895372,-0.201281111447225]","[3.72601330491616e-18,0.9996485484558527,6.545270525055601e-06,0.0003449062736222289]",1
5,068616a9-816f-e8e4-d737-6ddba1df,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]",0.18646409534316294,-0.16102488915777996,"[0.18646409534316294,-0.16102488915777996]","[3.901575202521659e-18,0.9998671879253729,1.919708201140736e-05,0.00011361499261567522]",1
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]",-0.29454234962461423,-0.95204469729727,"[-0.29454234962461423,-0.95204469729727]","[6.920981995954286e-07,2.0595312741939106e-16,2.0595312741939106e-16,0.9999993079018]",3
7,0781bbba-c179-f93c-1116-8d684911,0.0,0.75,0.0,ordinary,"[0.0,0.75,0.0]",0.20977210726105833,-0.18115300030250248,"[0.20977210726105833,-0.18115300030250248]","[3.674273060414947e-18,0.9997811270516742,2.2219509397671897e-05,0.00019665343892814386]",1
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",0.9393105223246565,-0.8964477766693052,"[0.9393105223246565,-0.8964477766693052]","[0.0004318058373639979,3.0386744889995165e-18,0.9995681940639001,9.873587459958702e-11]",2
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]",0.18646409534316294,-0.16102488915777996,"[0.18646409534316294,-0.16102488915777996]","[3.901575202521659e-18,0.9998671879253729,1.919708201140736e-05,0.00011361499261567522]",1
10,0c9621b0-ff94-77e8-727f-5420882d,0.0,1.0,0.5,ordinary,"[0.0,1.0,0.5]",0.6095033326697005,-0.5689925552029875,"[0.6095033326697005,-0.5689925552029875]","[4.773025521159495e-14,8.445028880473249e-06,0.9873558170099019,0.01263573796116988]",2
11,0e59235e-e51a-a5cd-e0ba-0fffe847,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]",-0.29454234962461423,-0.95204469729727,"[-0.29454234962461423,-0.95204469729727]","[6.920981995954286e-07,2.0595312741939106e-16,2.0595312741939106e-16,0.9999993079018]",3
12,101c246c-3f77-d919-ca38-8d19141e,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0.27969614301474444,-0.24153733373666997,"[0.27969614301474444,-0.24153733373666997]","[4.782598513843986e-18,0.9988965470606695,9.359325292130502e-09,0.0011034435800051112]",1
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]",0.18646409534316294,-0.16102488915777996,"[0.18646409534316294,-0.16102488915777996]","[3.901575202521659e-18,0.9998671879253729,1.919708201140736e-05,0.00011361499261567522]",1
14,135b42ab-ac52-d14a-c37c-6ffeca28,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0.27969614301474444,-0.24153733373666997,"[0.27969614301474444,-0.24153733373666997]","[4.782598513843986e-18,0.9988965470606695,9.359325292130502e-09,0.0011034435800051112]",1
15,1459b8fd-ecab-4e30-1fc9-3d649648,0.8571428571428571,0.3333333333333333,0.14285714285714285,ordinary,"[0.8571428571428571,0.3333333333333333,0.14285714285714285]",-0.410500566570676,-0.7878428412464634,"[-0.410500566570676,-0.7878428412464634]","[5.2928428058245825e-09,4.664302301354523e-16,4.664302301354523e-16,0.9999999947071563]",3
16,1496b095-5b5f-4c47-5066-49bcf5d6,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",-0.07861809703349182,-0.9423152361873762,"[-0.07861809703349182,-0.9423152361873762]","[0.0004508489025471059,2.4506761308775565e-16,2.4506761308775565e-16,0.9995491510974525]",3
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,ordinary,"[0.5,0.6666666666666666,0.25]",0.0025558002534981084,-0.6827860277026371,"[0.0025558002534981084,-0.6827860277026371]","[8.781669929100399e-09,1.0050416761064166e-16,1.0050416761064166e-16,0.9999999912183299]",3
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]",0.6571649338643414,-0.8583330787037647,"[0.6571649338643414,-0.8583330787037647]","[0.9999275378486012,1.8473486176073925e-16,1.8473486176073925e-16,7.246215139830032e-05]",0
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.875,0.8571428571428571,0.125,ordinary,"[0.875,0.8571428571428571,0.125]",-0.28822945878576567,-0.9154544793827686,"[-0.28822945878576567,-0.9154544793827686]","[2.5727425505042107e-06,1.7551428637984393e-16,1.7551428637984393e-16,0.9999974272574492]",3
20,195b9f52-3731-37a7-2c74-19d11cb6,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0.27969614301474444,-0.24153733373666997,"[0.27969614301474444,-0.24153733373666997]","[4.782598513843986e-18,0.9988965470606695,9.359325292130502e-09,0.0011034435800051112]",1
21,196bc15c-4aac-31e9-7c5d-3599ce10,0.0,0.0,0.2,ordinary,"[0.0,0.0,0.2]",0.13192287586198242,-0.13098208858652705,"[0.13192287586198242,-0.13098208858652705]","[4.268309433779651e-16,0.9962794431995143,4.268309433781772e-16,0.0037205568004846706]",1
22,1acb1c12-47e9-e408-eaf9-8167947a,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",0.9393105223246565,-0.8964477766693052,"[0.9393105223246565,-0.8964477766693052]","[0.0004318058373639979,3.0386744889995165e-18,0.9995681940639001,9.873587459958702e-11]",2
23,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]",0.7744069274971785,-0.7327201659361464,"[0.7744069274971785,-0.7327201659361464]","[2.7725890454895332e-05,3.3924099817906994e-16,0.9999707095477445,1.5645618003516855e-06]",2
