,users,catchingUpRatio,order,freq,ordinary-late,pcaInput,_1,_2,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.6,0.25,0.4,ordinary,"[0.6,0.25,0.4]",-0.2981324866555872,0.232447072524645,"[-0.2981324866555872,0.232447072524645]","[0.3319820743614109,0.6680179256385871,1.9350465785721164e-15]",1
1,037820a7-a143-422c-3ebd-3553d373,0.8571428571428571,0.5,0.14285714285714285,ordinary,"[0.8571428571428571,0.5,0.14285714285714285]",-0.6432180785630586,0.49679941769870845,"[-0.6432180785630586,0.49679941769870845]","[0.9369300399480993,0.06306996005190052,2.239344609273529e-16]",0
2,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]",-0.698770572340163,0.9990955153822325,"[-0.698770572340163,0.9990955153822325]","[0.006619475163685447,1.753720990157593e-05,0.9933629876264131]",2
3,0e59235e-e51a-a5cd-e0ba-0fffe847,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]",-0.698770572340163,0.9990955153822325,"[-0.698770572340163,0.9990955153822325]","[0.006619475163685447,1.753720990157593e-05,0.9933629876264131]",2
4,1459b8fd-ecab-4e30-1fc9-3d649648,0.8571428571428571,0.3333333333333333,0.14285714285714285,ordinary,"[0.8571428571428571,0.3333333333333333,0.14285714285714285]",-0.6484690709009466,0.3303564710051219,"[-0.6484690709009466,0.3303564710051219]","[0.9555001584462187,0.044499841553781026,3.249470618653757e-16]",0
5,1496b095-5b5f-4c47-5066-49bcf5d6,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",-0.48039756804343503,0.9900082889737666,"[-0.48039756804343503,0.9900082889737666]","[0.009304758307664621,0.0003796118990017662,0.9903156297933337]",2
6,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,ordinary,"[0.5,0.6666666666666666,0.25]",-0.2771342776563771,0.6557147615802059,"[-0.2771342776563771,0.6557147615802059]","[0.031826153038222275,0.9681738469617776,1.9682399105868539e-16]",1
7,16ba8f74-d9b7-c724-98c5-f31f43be,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]",0.3140022569057689,0.7569569227770879,"[0.3140022569057689,0.7569569227770879]","[3.292732104950605e-15,0.9999999999999963,4.631697810246144e-16]",1
8,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.875,0.8571428571428571,0.125,ordinary,"[0.875,0.8571428571428571,0.125]",-0.6564772077090539,0.8544828697002013,"[-0.6564772077090539,0.8544828697002013]","[0.9855042579236899,0.014495742076309643,4.467655270985101e-16]",0
9,1c09a110-d9c3-2442-9f5d-aee802c0,0.75,0.6666666666666666,0.25,ordinary,"[0.75,0.6666666666666666,0.25]",-0.49089955271921093,0.6571223955865936,"[-0.49089955271921093,0.6571223955865936]","[0.8055478850935424,0.19445211490645753,1.767110636616211e-16]",0
10,1cb07e56-7b73-0087-0a17-3e9c1f88,0.5,0.8571428571428571,0.5,ordinary,"[0.5,0.8571428571428571,0.5]",-0.1417408404381949,0.833062978880246,"[-0.1417408404381949,0.833062978880246]","[0.0003368081425447148,0.999663191857455,2.4398095653051603e-16]",1
11,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.6,0.75,0.4,ordinary,"[0.6,0.75,0.4]",-0.28237950964192327,0.7317759126054048,"[-0.28237950964192327,0.7317759126054048]","[0.0390982120230564,0.9609017879769433,2.496946748579867e-16]",1
12,1f7f3fd7-7087-1461-cf43-9add2172,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]",0.19541560364193428,0.6285625411599866,"[0.19541560364193428,0.6285625411599866]","[1.3850572649700417e-11,0.9999999999861492,2.7564095040003265e-16]",1
13,20e2fc85-7d0f-8a2c-b651-4b811a97,0.16666666666666666,0.4,0.3333333333333333,ordinary,"[0.16666666666666666,0.4,0.3333333333333333]",0.04261526905936022,0.38323843712631184,"[0.04261526905936022,0.38323843712631184]","[4.388079874132824e-07,0.9999995611920118,7.856735297100094e-16]",1
14,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,0.9166666666666666,0.9090909090909092,0.08333333333333333,ordinary,"[0.9166666666666666,0.9090909090909092,0.08333333333333333]",-0.7120334644693312,0.908741178616437,"[-0.7120334644693312,0.908741178616437]","[0.9931112943250762,0.006888705674922801,1.038888924516326e-15]",0
15,258d2e1f-e3e8-2612-8285-895fb96d,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",0.20591758831771023,0.9614484345471597,"[0.20591758831771023,0.9614484345471597]","[3.909201898283393e-12,0.9999913802420368,8.61975405392537e-06]",1
16,269144fa-ef0e-c81e-52ff-df9a348a,0.6923076923076923,0.8333333333333334,0.2307692307692308,ordinary,"[0.6923076923076923,0.8333333333333334,0.2307692307692308]",-0.4462713663758796,0.8242306800638534,"[-0.4462713663758796,0.8242306800638534]","[0.7788926106441316,0.22110738935586793,3.7481279533052726e-16]",0
17,31a88be4-13ad-06c2-119c-3551a490,0.2,1.0,0.1,ordinary,"[0.2,1.0,0.1]",-0.08774934477584376,0.9946348700838632,"[-0.08774934477584376,0.9946348700838632]","[2.6794782276908767e-06,0.042222696691660684,0.9577746238301117]",2
18,3447bacb-f54d-55c2-592f-3a3ff765,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",-0.48039756804343503,0.9900082889737666,"[-0.48039756804343503,0.9900082889737666]","[0.009304758307664621,0.0003796118990017662,0.9903156297933337]",2
19,35813a40-7aa6-5336-237b-c93f1759,0.875,0.8571428571428571,0.0,ordinary,"[0.875,0.8571428571428571,0.0]",-0.7211733592679233,0.8609190163036592,"[-0.7211733592679233,0.8609190163036592]","[0.9893185965932443,0.010681403406754827,9.673409426115026e-16]",0
20,35ce5334-aefb-9a61-d1c3-7f01a776,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",-0.6519763571337214,0.9971482525804183,"[-0.6519763571337214,0.9971482525804183]","[0.008203135235306754,2.980973729010343e-05,0.9917670550274031]",2
21,367365a7-8d2a-3b00-f3e3-f877be3c,0.7142857142857143,0.8333333333333334,0.2857142857142857,ordinary,"[0.7142857142857143,0.8333333333333334,0.2857142857142857]",-0.4366260492126698,0.8215253526782796,"[-0.4366260492126698,0.8215253526782796]","[0.7403416516568719,0.2596583483431277,3.9103094422368336e-16]",0
