,users,intensityNormalized,order,freq,catchingUpRatio,features,probability,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,0.6,"[0.125,0.25,0.4,0.6]","[1.430485778150324e-14,0.9999992078306159,5.1576533861789855e-17,6.6265084232269235e-12,7.921627432330276e-07,5.1576533861789855e-17]",1
1,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,0.8571428571428571,"[0.5,0.5,0.14285714285714285,0.8571428571428571]","[1.1424834306466742e-24,1.3826538563822916e-24,1.1424834306466742e-24,1.3016293604355165e-18,1.0,1.1424834306466742e-24]",4
2,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]","[4.3765542798756146e-24,4.3765542798756146e-24,4.3765542798756146e-24,4.376554290507481e-24,1.0,4.3765542798756146e-24]",4
3,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]","[4.3765542798756146e-24,4.3765542798756146e-24,4.3765542798756146e-24,4.376554290507481e-24,1.0,4.3765542798756146e-24]",4
4,1459b8fd-ecab-4e30-1fc9-3d649648,0.5,0.3333333333333333,0.14285714285714285,0.8571428571428571,"[0.5,0.3333333333333333,0.14285714285714285,0.8571428571428571]","[1.7452977165473584e-24,1.9745339885413455e-24,1.7452977165473584e-24,1.7266256150632703e-20,1.0,1.7452977165473584e-24]",4
5,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,1.0,0.25,0.75,"[0.25,1.0,0.25,0.75]","[1.414015351155467e-24,1.4959763710750806e-09,1.414015351155467e-24,9.919220995405136e-11,0.9999999984048314,3.696026535989675e-17]",4
6,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.08333333333333333,0.6666666666666666,0.25,0.5,"[0.08333333333333333,0.6666666666666666,0.25,0.5]","[0.9128560104177259,0.023477138300923413,6.9125163352563135e-18,0.06366685128135068,6.9125163352563135e-18,6.9125163352563135e-18]",0
7,16ba8f74-d9b7-c724-98c5-f31f43be,0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,0.8,0.8333333333333334,0.16666666666666666]","[0.9999999999999952,4.70664281795024e-15,9.295888182533043e-19,9.295888182533043e-19,9.295888182533043e-19,9.295888182533043e-19]",0
8,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.5833333333333334,0.8571428571428571,0.125,0.875,"[0.5833333333333334,0.8571428571428571,0.125,0.875]","[8.48802953225838e-25,8.488029532261485e-25,8.48802953225838e-25,3.3129505806264684e-19,1.0,8.63601629479198e-25]",4
9,1c09a110-d9c3-2442-9f5d-aee802c0,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]","[8.77499926590195e-25,4.9113101169992784e-09,8.77499926590195e-25,4.155574382025036e-11,0.9999999950471341,2.048966159877896e-24]",4
