,users,intensityNormalized,order,freq,prediction
0,003136ec-fd3a-908e-de7e-45301e3b,0.125,0.25,0.4,0
1,0064c3fd-7e6e-425c-f754-34b889c8,0.4166666666666667,1.0,0.0,3
2,037820a7-a143-422c-3ebd-3553d373,0.5,0.5,0.14285714285714285,0
3,04745589-295d-158e-c6c0-ef24f730,0.0,1.0,1.0,1
4,04a7d779-f053-b1a3-386e-82d69979,0.5,0.8333333333333334,0.0,3
5,068616a9-816f-e8e4-d737-6ddba1df,0.25,0.6666666666666666,0.0,2
6,06f2e041-7a2d-a0ab-5f48-fd01f0a2,0.8333333333333334,1.0,0.09090909090909093,3
7,0781bbba-c179-f93c-1116-8d684911,0.125,0.75,0.0,2
8,08ee9ac0-7656-2b25-ce41-b44d758e,0.0,1.0,1.0,1
9,0a84077c-d3fa-56fc-803c-a863ca7e,0.25,0.6666666666666666,0.0,2
10,0c9621b0-ff94-77e8-727f-5420882d,0.016666666666666663,1.0,0.5,1
11,0e59235e-e51a-a5cd-e0ba-0fffe847,0.8333333333333334,1.0,0.09090909090909093,3
12,101c246c-3f77-d919-ca38-8d19141e,0.25,1.0,0.0,2
13,10355f7a-f86a-830c-cbf1-fb3c40b6,0.08333333333333333,0.6666666666666666,0.0,2
14,135b42ab-ac52-d14a-c37c-6ffeca28,0.5833333333333334,1.0,0.0,3
15,1459b8fd-ecab-4e30-1fc9-3d649648,0.5,0.3333333333333333,0.14285714285714285,0
16,1496b095-5b5f-4c47-5066-49bcf5d6,0.25,1.0,0.25,2
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.08333333333333333,0.6666666666666666,0.25,2
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.016666666666666663,0.8,0.8333333333333334,1
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.5833333333333334,0.8571428571428571,0.125,3
20,195b9f52-3731-37a7-2c74-19d11cb6,0.5,1.0,0.0,3
21,196bc15c-4aac-31e9-7c5d-3599ce10,0.125,0.0,0.2,0
22,1acb1c12-47e9-e408-eaf9-8167947a,0.0,1.0,1.0,1
23,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.0,1.0,0.75,1
24,1beb31a1-0aea-018e-a7e1-82085ffa,0.25,1.0,0.0,2
25,1c09a110-d9c3-2442-9f5d-aee802c0,0.25,0.6666666666666666,0.25,2
26,1cb07e56-7b73-0087-0a17-3e9c1f88,0.08333333333333333,0.8571428571428571,0.5,2
27,1d3ed189-1162-0dd0-bcb2-fda83a50,0.0,0.8,0.8333333333333334,1
28,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.125,0.75,0.4,2
29,1d90b45b-4d8d-42a1-43cd-38e1a241,0.0,0.75,0.8,1
30,1e81aa64-c3c9-ee4f-ce3c-c4248be0,0.3333333333333333,0.0,0.0,0
31,1f7f3fd7-7087-1461-cf43-9add2172,0.027777777777777773,0.6666666666666666,0.75,1
32,1f96865d-62d4-b049-1788-cfccf324,0.0,1.0,1.0,1
33,20e2fc85-7d0f-8a2c-b651-4b811a97,0.08333333333333333,0.4,0.3333333333333333,0
34,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,0.9166666666666666,0.9090909090909092,0.08333333333333333,3
35,258d2e1f-e3e8-2612-8285-895fb96d,0.027777777777777773,1.0,0.75,1
36,269144fa-ef0e-c81e-52ff-df9a348a,0.1875,0.8333333333333334,0.2307692307692308,2
37,270174bf-baf8-aab4-48e3-139fcf47,0.08333333333333333,0.3333333333333333,0.0,0
38,27080783-250a-3521-f816-6e7b29cf,0.0,1.0,1.0,1
39,2c1d08f2-a1ba-6915-db46-1a7721b9,0.3333333333333333,1.0,0.0,3
40,2ee1d86b-74ed-47f3-5733-61cc4821,0.08333333333333333,1.0,0.0,2
41,2f7f0e40-1234-75db-2bcf-bdfbdfbc,0.0,1.0,1.0,1
42,31a88be4-13ad-06c2-119c-3551a490,0.3333333333333333,1.0,0.1,3
43,3244a4c0-3f85-3017-5694-2f5647cb,0.0,0.8333333333333334,0.8571428571428571,1
44,3447bacb-f54d-55c2-592f-3a3ff765,0.25,1.0,0.25,2
45,34a3d1d8-74eb-8a4e-0506-b9ca1551,0.08333333333333333,1.0,0.25,2
46,35813a40-7aa6-5336-237b-c93f1759,0.5833333333333334,0.8571428571428571,0.0,3
47,35ce5334-aefb-9a61-d1c3-7f01a776,0.5833333333333334,1.0,0.125,3
48,35daa597-4591-5a82-57a9-1fba2635,0.027777777777777773,1.0,0.75,1
49,367365a7-8d2a-3b00-f3e3-f877be3c,0.20833333333333331,0.8333333333333334,0.2857142857142857,2
50,3681eecc-7864-c1c1-0024-4d4234be,0.75,1.0,0.1,3
51,36a67ef1-5f22-7846-3f95-faec67c9,0.0,1.0,1.0,1
52,37ada581-75c2-560e-2eb3-3db3a231,0.3333333333333333,0.5,0.2,0
53,37d73652-37e1-cc5f-6c84-3b9a528c,0.016666666666666663,0.8,0.8333333333333334,1
54,380773a6-f975-22c8-187e-e40fe702,0.027777777777777773,0.6666666666666666,0.75,1
55,3be7d5a2-f78e-3472-e5ac-fa27ed08,0.16666666666666666,0.4,0.0,0
56,3c370e25-1bd5-c34b-ec40-31117752,0.25,0.3333333333333333,0.25,0
57,3d524e1d-934c-6d53-022b-983c91c3,0.05555555555555556,1.0,0.4,2
58,3d7d0f75-dda5-644d-e527-018ff340,0.14583333333333334,0.7,0.09090909090909093,2
59,3dc06a27-afe4-b105-1f3c-997851c7,0.2222222222222222,0.7,0.18181818181818185,2
60,3e4346e0-6285-8776-f373-101eac22,0.0,1.0,1.0,1
61,3e713aeb-dcb2-d6a8-962f-635df3e8,0.3333333333333333,1.0,0.0,3
62,3fc2e2fe-697a-3255-1a17-4204819d,0.08333333333333333,0.7142857142857143,0.5,2
63,404bc704-6703-c3c0-815e-55c756c5,0.0,0.8571428571428571,0.625,1
64,4196e8ee-e405-a1e1-4a7f-7d9149a5,0.25,1.0,0.25,2
65,42779e7e-90bc-7eac-5aa8-a9874f90,0.047619047619047616,1.0,0.3636363636363637,2
66,440d90ef-c7d7-0530-608e-8c0fc440,0.033333333333333326,1.0,0.7142857142857143,1
67,459f5319-edaf-cd53-126d-fdfb12a5,0.0,1.0,1.0,1
68,45d78fe4-7d30-3b18-371e-57bb06c7,0.6666666666666666,1.0,0.1111111111111111,3
